Date;ITSA4.SA;ALOS3.SA;CSAN3.SA;USIM5.SA;BBAS3.SA;B3SA3.SA;UGPA3.SA;BEEF3.SA;BPAC11.SA;BRKM5.SA;CMIG4.SA;KLBN11.SA;ITUB4.SA;VBBR3.SA;BBDC4.SA;LREN3.SA;AXIA3.SA;MGLU3.SA;WEGE3.SA;COGN3.SA;SLCE3.SA;Retorno_IBOV_Simples
2021-03-11;-0,00290989;0,069037588;-0,003793314;0,044739965;0,005016528;0,02513139;0,06386455;-0,01016257;0,024071061;0,034257267;0,01091504;-0,014290683;0,001463603;0,054501498;0,01736629;0,054801773;0,001577721;-0,004016071;-0,004980088;0,022222176;-0,033175439;0,019578634
2021-03-12;-0,00778211;0,027788892;-0,002127854;-0,023148339;0,003200567;-0,023986039;0,001539252;-0,010266847;0,01094791;0,015657933;0,004153182;0,014842916;-0,006578438;0,000461381;-0,006748796;0,028203769;0,001890355;-0,009274174;-0,01070654;0,01207718;-0,018382226;-0,007166214
2021-03-15;0,002941271;0,02018272;0,029741824;0,011848336;-0,006999695;-0,027828146;-0,012807411;-0,012448068;-0,01051093;0,024903639;0,011579866;-0,035033826;0,011772968;0,011992559;0,013989177;0,006255982;0,035220076;-0,03459513;0,029093646;-0,0167063;0;0,006052908
2021-03-16;-0,014662864;-0,030235275;-0,032697633;0,085480292;0,002685419;-0,025092682;-0,004670347;0,004201555;-0,020064231;0,041076161;-0,010629371;0,043707946;-0,020363692;-0,019598901;-0,016555232;-0,026781608;0,003037823;0,018128232;0,002458426;-0,036407896;0,002496782;-0,007244169
2021-03-17;0,028769598;0,015396263;0,073690309;-0,009169377;0,027786888;0,009532485;0,047966522;0,026150699;0,031095948;0,039733081;0,004958348;-0,001688435;0,03897572;0,029288626;0,041683809;0,022604562;0,020896277;-0,008695704;-0,002861052;0,037783514;0,039103508;0,022189284
2021-03-18;0,009643666;-0,03184186;-0,024031935;-0,022319043;-0,008469097;0,014730938;-0,033333138;-0,020387474;-0,02888392;0,000801813;0,008223655;-0,032814739;0,005716084;-0,001354955;0,018468647;-0,01225368;0,002669859;-0,069339992;-0,018855343;-0,036407896;-0,01006726;-0,014706261
2021-03-19;-0,002865511;0,050117091;0,008709564;-0,010022279;0,008541435;0,035548168;0,02007194;0,020811774;0,023073009;-0,007209636;0,019576022;-0,01084298;0,002131203;0,024423376;0,010200116;0,034932131;-0,017159683;0,000448874;0,00194968;0,047859085;-0,006053199;0,012078199
2021-03-22;0,007662576;-0,003728269;-0,015989718;-0,03093365;0,002931731;-0,011142969;-0,001513561;0,032619705;0,006519579;-0,005917152;-0,01520003;0,006365044;0,005672036;-0,030022285;-0,005235451;-0,021662078;-0,022275804;-0,017048033;-0,009033921;-0,026442298;0,014859832;-0,010695049
2021-03-23;-0,02471442;0,008607617;-0,001408206;-0,033662282;-0,036051063;-0,015449377;-0,011116756;-0,013820303;0,009875728;-0,007846393;0;0,002108296;-0,025379157;-0,0095584;-0,010902257;0,002406717;0,016009983;-0,018256536;0,004347943;-0,022222176;-0,020883317;-0,014933162
2021-03-24;-0,02046813;-0,017810799;-0,013994457;-0,013813857;-0,018193864;-0,00701447;-0,005620768;-0,004003944;-0,034700274;0,018271161;-0,020308837;0,006311077;-0,017359769;-0,021599314;-0,010262272;-0,017767054;-0,021515323;-0,052998534;-0,015221711;-0,020202237;0,012503064;-0,010577246
