Date;ALOS3.SA;ABEV3.SA;AZZA3.SA;B3SA3.SA;BBDC3.SA;BBDC4.SA;BBAS3.SA;BRKM5.SA;CMIG4.SA;COGN3.SA;CSMG3.SA;CPLE3.SA;CSAN3.SA;CPFE3.SA;CYRE3.SA;ENGI11.SA;EGIE3.SA;FLRY3.SA;GGBR4.SA;HYPE3.SA;ISAE4.SA;ITUB4.SA;RENT3.SA;LREN3.SA;MGLU3.SA;MBRF3.SA;BEEF3.SA;PSSA3.SA;RADL3.SA;SANB11.SA;VIVT3.SA;TIMS3.SA;TOTS3.SA;UGPA3.SA;VALE3.SA;VBBR3.SA;WEGE3.SA;YDUQ3.SA;Retorno_IBOV_Simples
2021-02-25;-0,011567664;-0,032697659;-0,030177041;-0,013124937;-0,025784718;-0,021657781;-0,028043838;-0,042546797;-0,030694374;-0,015384512;-0,022251378;-0,017085323;-0,024704304;-0,015005077;-0,02178136;-0,031385568;-0,013017883;-0,005932484;-0,040898669;-0,011837618;-0,014127903;-0,03128556;-0,011232035;-0,001339716;-0,023944738;-0,041244147;-0,040899731;-0,035675961;-0,0300934;-0,025114501;0,002928757;-0,012781861;-0,03591913;-0,073778274;-0,022669365;-0,032701227;-0,077277602;-0,032750321;-0,029498219
2021-02-26;-0,054479336;-0,012675949;-0,013691038;-0,010748462;-0,009143914;-0,020860223;-0,047861461;-0,014812443;-0,003333708;-0,026041563;-0,034136351;-0,020108955;-0,031989566;-0,023019608;-0,013916608;-0,024134018;-0,013189409;0,000745873;-0,00614682;-0,018268847;-0,044528908;-0,012102192;-0,031072503;-0,016367209;0,005405377;-0,019746016;0,03411507;-0,022645478;-0,025995924;-0,021077041;-0,011680466;-0,025133314;-0,017532871;-0,019787024;-0,01243307;-0,024007847;-0,024374998;-0,009861934;-0,019785134
2021-03-01;-0,026888704;-0,017831785;-0,001682679;0,000920572;-0,032539721;-0,033043381;-0,006773163;0,016634675;-0,035952934;-0,034759456;-0,041580178;-0,002782543;0,012285045;-0,028066593;-0,012499888;-0,018319112;-0,024301279;-0,0339171;0,030923631;-0,040573721;-0,01589952;-0,029958587;0,019999803;0,013911881;0,015301818;0,029496226;-0,005154593;-0,011241385;-0,019371441;-0,009569628;-0,013688482;-0,006250066;0,003186584;-0,029502844;0,042847704;-0,011546186;0,003852883;-0,046148774;0,002726405
2021-03-02;0,004385935;0,015976885;0,008848583;0,030542996;0,017446617;0,026955423;0,0384061;-0,039962221;0,029488431;0,005540206;-0,026030283;0,016044574;-0,000242806;0,022460069;0,008983153;-0,002799231;-0,01270237;-0,011188435;0,013498412;0,018442259;0,008503327;0,040371151;-0,009465921;0,005380642;-0,01140517;0,025856266;-0,004145016;0,013689306;0,004389876;0,030327584;0,003924592;0,001572428;-0,01461235;-0,003200166;0,030739809;-0,015236152;-0,012051653;-0,02923769;0,010921285
2021-03-03;0,001309806;0,012866311;-0,012947192;0,010354835;0,020247566;0,008764386;0,002073852;-0,032776163;-0,008424718;0,011019131;0,030082309;-0,00497766;-0,005947966;0,012552187;-0,040873941;0,006081833;0,005045452;0,002560721;-0,003329475;-0,024976583;0,00505899;0,00232803;0,003754287;0,002943416;0,035022536;0,008855522;0;-0,002517975;0,014423093;-0,014587019;0,016329599;0,009418857;-0,002901302;-0,025147205;-0,012303273;-0,020113546;-0,000778714;-0,00752955;-0,00319168
2021-03-04;0,040122286;0,043048679;0,029619204;-0,01943755;0,033397926;0,038662389;0,036219359;0,021009828;0,032285383;0,008174447;0,071690109;0,051405966;0,086823819;0,015840202;0,00675081;0,0241804;0,011546017;0,011507957;-0,001113777;0,006724348;0,029782174;0,0313591;0,035702277;0,049359703;0,012738876;-0,009453021;0,031217629;-0,002294329;0,016802984;0,021147212;-0,004072929;0,014774612;-0,010345969;0,062019879;-0,014847925;0,067894729;-0,048960843;0;0,013545114
2021-03-05;0,048218206;0,020297749;0,075205327;0,018021072;0,054801001;0,047260089;0,018641842;0,013275815;-0,018930076;0,100000045;-0,025255964;-0,024774486;0,03067406;-0,003728809;0,042749331;-0,003178288;-0,001488765;-0,012553921;0,026384264;0,008587726;-0,001222074;0,037161838;-0,001477402;0,005847844;-0,012185521;0,021131491;-0,0111;0,002069773;0,005084668;0,046078139;0,016132286;0,025287283;-0,016007805;0,016922257;0,059320747;-0,001971329;-0,002594469;0,038656089;0,022291241
2021-03-08;-0,059199765;-0,025862106;-0,078099088;-0,06726859;-0,038633156;-0,035543395;-0,045751477;-0,010809026;-0,03691286;-0,058968072;-0,0378152;-0,023048473;-0,011228613;-0,031303128;-0,076366522;-0,040081947;-0,033051661;-0,029002823;-0,023895609;-0,037527548;-0,032626598;-0,031849757;-0,093868214;-0,039433563;-0,080779978;0,044058759;-0,019387796;-0,014229824;-0,060708166;-0,034645114;-0,016994321;-0,029147987;-0,058101021;-0,079043212;-0,005388798;-0,057283934;-0,05325871;-0,06573909;-0,039843058
2021-03-09;-0,006377708;0,031994611;-0,023355565;0,015373086;0,00138639;0,008282057;-0,007191949;0,042715197;-0,010452738;-0,020887953;-0,007278027;0,015498658;-0,014443213;0,003863712;-0,036118282;-0,0056939;-0,012078928;-0,004091619;0,013723906;0,018348591;0,025716878;0,013832327;0,008345667;-0,029473861;0,012554173;0,018542213;0,061394353;-0,008149058;0,032316168;0,005895867;-0,00455006;-0,010007737;0,040535996;0,013551679;-0,010033058;0,011524232;0,033984102;-0,016381351;0,006500199
2021-03-10;0,02267847;0,00725587;0,023914092;0,033831723;0,015221154;0,0168377;0,031390418;0,019688791;0,048415157;0,080000224;0,009530724;0,036798309;0,002684879;0,032190305;0,027539531;0,007874118;0,021852078;0,008627908;-0,013172303;0,002573912;-0,008631292;0,007374838;0,017272124;0,039045629;0,0645575;-0,048336503;-0,035294112;0,017605397;0,058695642;0,013761868;-0,004798919;-0,003887886;-0,047425599;0,020612856;-0,015404798;0,064215465;0,010908875;0,024224109;0,012979314
